店铺名字,类别,id,月销售,经度,纬度
咕噜咕噜大沥店,奶茶果汁,E11299056937885784080,207,113.120805,23.11321
茶咖乐,奶茶果汁,E5478548969795469869,46,113.09968,23.139119
一座一茶,奶茶果汁,E14194740934432494214,40,113.082644,23.129164
又一茗益禾堂(松风路店),奶茶果汁,E923993889385906306,0,113.103405,23.139737
品味小食(联表店),奶茶果汁,E8167614372641442507,11,113.101439,23.153725
饮得爽珍珠奶茶,奶茶果汁,E10186356263111555087,52,113.092006,23.152744
美星现制(松岗店),奶茶果汁,E4483200441464500544,44,113.091965,23.146733
Royal Tea皇茶,奶茶果汁,E3993781937962712673,50,113.09936,23.1393
贡茶(新南达店),奶茶果汁,E5260258387114916051,289,113.084672,23.224068
壹品茶饮品店(官窑店),奶茶果汁,E17073078940811719773,76,113.083293,23.224911
蜜语茶言,奶茶果汁,E14572370287914337063,14,113.078685,23.224737
皇茶,奶茶果汁,E16267887707432400366,58,113.111256,22.943046
Landmark柠檬茶(盈翠园店),奶茶果汁,E16166569833008509167,85,113.097673,22.957506
小憩驿站（乐从店）,奶茶果汁,E1494895658921103368,44,113.099649,22.954443
绯茶,奶茶果汁,E12707941952492406348,673,113.108863,22.946279
潮道港,奶茶果汁,E10798307268828121460,41,113.112876,22.95603
悦茶,奶茶果汁,E5808310628507610615,42,113.088865,22.936143
CITYCLOUD,奶茶果汁,E5180625398110105711,2,113.10862,22.947018
好声音TEA,奶茶果汁,E9934812545061148170,13,113.108112,22.946587
黑泷堂（新DNA店）,奶茶果汁,E2570887334488022306,440,113.107956,22.99446
古格风拧茶,奶茶果汁,E16545991397409444815,48,113.117902,22.995783
冰封茶座(禅城店),奶茶果汁,E10848229327021002513,1202,113.12036,23.013247
贡茶(禅城店),奶茶果汁,E13475424057987962761,3744,113.11559,23.014866
伍茶(佛山大学店),奶茶果汁,E12890396363860366167,290,113.098535,23.019906
茶百道,奶茶果汁,E18251027110362681417,980,113.110866,23.026068
贡茶(季华店),奶茶果汁,E1669174679035302626,223,113.111033,23.000902
叻茶(季华万科店),奶茶果汁,E6799934927954218427,199,113.12041,23.013458
快乐番薯(禅城季华店),奶茶果汁,E5431374415295132899,411,113.107272,23.011134
DQ(佛山创意产业园店）,奶茶果汁,E13024804923073208996,157,113.09816,23.01285
王子拉茶(英皇店),奶茶果汁,E1024295002767908490,304,113.116443,23.012441
弄菓叔叔,奶茶果汁,E13060666286649881443,170,113.114083,23.009915
满记甜品（佛山新DNA店）,奶茶果汁,E5679319534864740062,34,113.107846,22.993916
葡京葡式蛋挞(通济桥店),奶茶果汁,E493280787823007840,42,113.115564,23.017306
